name,rating,votes,grade,type,height,pitches,safety,commitment,state,sub_area,photos,comments,near_grades,aid_grade
Reach the Beach,0.0,0,5.11b,"['Trad', 'Sport']",,1,,,Nevada,03-First Pullou…,0,0,"['5.11-', '5.11', '5.11a', '5.11+', '5.11c', '5.11a', '5.11-', '5.7', '5.11b', '5.11+', '5.11a', '5.11b', '5.11b', '5.11c', '5.11-', '5.10a']",
Crack,2.7,10,5.11,['Trad'],35,1,,,Nevada,03-First Pullou…,1,0,"['5.11-', '5.11b', '5.11a', '5.11+', '5.11c', '5.11a', '5.11-', '5.7', '5.11b', '5.11+', '5.11a', '5.11b', '5.11b', '5.11c', '5.11-', '5.10a']",
Snow Blind,3.0,1,5.11c,"['Trad', 'Sport']",,1,,,Nevada,03-First Pullou…,0,1,"['5.11-', '5.11b', '5.11', '5.11a', '5.11+', '5.11a', '5.11-', '5.7', '5.11b', '5.11+', '5.11a', '5.11b', '5.11b', '5.11c', '5.11-', '5.10a']",
The Geezer,0.0,0,5.11c,['Trad'],,1,R,,Nevada,03-First Pullou…,0,0,"['5.11-', '5.11b', '5.11', '5.11a', '5.11+', '5.11a', '5.11-', '5.7', '5.11b', '5.11+', '5.11a', '5.11b', '5.11b', '5.11c', '5.11-', '5.10a']",
Red Skies,2.0,2,5.11+,['Trad'],40,1,PG13,,Nevada,03-First Pullou…,0,1,"['5.11-', '5.11b', '5.11', '5.11a', '5.11c', '5.11a', '5.11-', '5.7', '5.11b', '5.11+', '5.11a', '5.11b', '5.11b', '5.11c', '5.11-', '5.10a']",
Free Base,3.3,4,5.11+,"['Trad', 'Sport']",,1,,,Nevada,03-First Pullou…,1,2,"['5.11-', '5.11b', '5.11', '5.11a', '5.11c', '5.11a', '5.11-', '5.7', '5.11b', '5.11+', '5.11a', '5.11b', '5.11b', '5.11c', '5.11-', '5.10a']",
Approaching the Oasis,1.0,1,5.3,['Trad'],80,1,,,Nevada,03-First Pullou…,0,0,"['5.11c/d', '5.7', '5.11d', '5.12a', '5.10c', '5.11d', '5.8', '5.12b/c', '5.8', '5.11c/d', '5.10d']",
Diamond Dance,1.2,6,5.7,"['Trad', 'TR']",25,1,,,Nevada,03-First Pullou…,1,0,"['5.3', '5.11c/d', '5.11d', '5.12a', '5.10c', '5.11d', '5.8', '5.12b/c', '5.8', '5.11c/d', '5.10d']",
Serious Libation,1.6,10,5.8,['Sport'],40,1,,,Nevada,03-First Pullou…,0,0,"['5.3', '5.11c/d', '5.7', '5.11d', '5.12a', '5.10c', '5.11d', '5.12b/c', '5.8', '5.11c/d', '5.10d']",
Pad's Passion,1.6,9,5.8,['Sport'],30,1,PG13,,Nevada,03-First Pullou…,0,0,"['5.3', '5.11c/d', '5.7', '5.11d', '5.12a', '5.10c', '5.11d', '5.12b/c', '5.8', '5.11c/d', '5.10d']",
Money,2.7,56,5.10c,['Sport'],30,1,,,Nevada,03-First Pullou…,3,5,"['5.3', '5.11c/d', '5.7', '5.11d', '5.12a', '5.11d', '5.8', '5.12b/c', '5.8', '5.11c/d', '5.10d']",
The Warming,2.3,33,5.10d,['Sport'],45,1,,,Nevada,03-First Pullou…,1,0,"['5.3', '5.11c/d', '5.7', '5.11d', '5.12a', '5.10c', '5.11d', '5.8', '5.12b/c', '5.8', '5.11c/d']",
Casino,3.0,24,5.11c/d,['Sport'],45,1,,,Nevada,03-First Pullou…,3,1,"['5.3', '5.7', '5.11d', '5.12a', '5.10c', '5.11d', '5.8', '5.12b/c', '5.8', '5.11c/d', '5.10d']",
Snack Crack,2.6,18,5.11c/d,['Sport'],45,1,,,Nevada,03-First Pullou…,1,1,"['5.3', '5.7', '5.11d', '5.12a', '5.10c', '5.11d', '5.8', '5.12b/c', '5.8', '5.11c/d', '5.10d']",
My Thai,3.1,25,5.11d,['Sport'],45,1,,,Nevada,03-First Pullou…,0,3,"['5.3', '5.11c/d', '5.7', '5.12a', '5.10c', '5.11d', '5.8', '5.12b/c', '5.8', '5.11c/d', '5.10d']",
Hang Ten,2.5,4,5.11d,['Sport'],45,1,,,Nevada,03-First Pullou…,0,0,"['5.3', '5.11c/d', '5.7', '5.12a', '5.10c', '5.11d', '5.8', '5.12b/c', '5.8', '5.11c/d', '5.10d']",
Insecure Delusions,2.5,6,5.12a,['Sport'],30,1,,,Nevada,03-First Pullou…,1,0,"['5.3', '5.11c/d', '5.7', '5.11d', '5.10c', '5.11d', '5.8', '5.12b/c', '5.8', '5.11c/d', '5.10d']",
Sandman,2.0,2,5.12b/c,['Sport'],45,1,,,Nevada,03-First Pullou…,4,0,"['5.3', '5.11c/d', '5.7', '5.11d', '5.12a', '5.10c', '5.11d', '5.8', '5.8', '5.11c/d', '5.10d']",
The Broon,1.7,17,5.8-,['TR'],25,1,,,Nevada,03-First Pullou…,5,2,"['5.10a', '5.11c/d', '5.10d', '5.11a/b', '5.8', '5.9', '5.11b', '5.8']",
Mission Accomplished,1.5,13,5.8,['TR'],50,1,,,Nevada,03-First Pullou…,2,2,"['5.10a', '5.8-', '5.11c/d', '5.10d', '5.11a/b', '5.9', '5.11b', '5.8']",
Warrantless Wiretap,1.3,28,5.8,['Sport'],50,1,,,Nevada,03-First Pullou…,6,5,"['5.10a', '5.8-', '5.11c/d', '5.10d', '5.11a/b', '5.9', '5.11b', '5.8']",
The One the Only,2.4,7,5.9,['TR'],30,1,,,Nevada,03-First Pullou…,0,2,"['5.10a', '5.8-', '5.11c/d', '5.10d', '5.11a/b', '5.8', '5.11b', '5.8']",
The Boila,2.4,14,5.10a,['TR'],30,1,,,Nevada,03-First Pullou…,6,0,"['5.8-', '5.11c/d', '5.10d', '5.11a/b', '5.8', '5.9', '5.11b', '5.8']",
Full Sail,2.2,26,5.10d,['Sport'],45,1,,,Nevada,03-First Pullou…,1,3,"['5.10a', '5.8-', '5.11c/d', '5.11a/b', '5.8', '5.9', '5.11b', '5.8']",
Guinness,2.2,18,5.11a/b,['Sport'],50,1,,,Nevada,03-First Pullou…,0,3,"['5.10a', '5.8-', '5.11c/d', '5.10d', '5.8', '5.9', '5.11b', '5.8']",
Pale Ale,2.9,21,5.11b,['Sport'],75,1,,,Nevada,03-First Pullou…,0,2,"['5.10a', '5.8-', '5.11c/d', '5.10d', '5.11a/b', '5.8', '5.9', '5.8']",
Brown Ale,2.4,7,5.11c/d,['Sport'],65,1,,,Nevada,03-First Pullou…,0,1,"['5.10a', '5.8-', '5.10d', '5.11a/b', '5.8', '5.9', '5.11b', '5.8']",
Epic Curious,2.0,6,5.8,['Sport'],50,1,,,Nevada,03-First Pullou…,0,1,"['5.10', '5.10-', '5.10b/c', '5.9-', '5.10', '5.10b', '5.10a']",
Is this now?,2.4,9,5.9-,['Sport'],50,1,,,Nevada,03-First Pullou…,1,0,"['5.10', '5.10-', '5.10b/c', '5.8', '5.10', '5.10b', '5.10a']",
Wash Away the Rain,2.8,4,5.10a,['Sport'],50,1,,,Nevada,03-First Pullou…,1,0,"['5.10', '5.10-', '5.10b/c', '5.8', '5.9-', '5.10', '5.10b']",
Bottomless Pit,2.8,8,5.10-,['Trad'],75,1,,,Nevada,03-First Pullou…,0,1,"['5.10', '5.10b/c', '5.8', '5.9-', '5.10', '5.10b', '5.10a']",
Strangers to Ourselves,3.0,4,5.10b,['Sport'],60,1,,,Nevada,03-First Pullou…,1,0,"['5.10', '5.10-', '5.10b/c', '5.8', '5.9-', '5.10', '5.10a']",
Quasar,1.5,2,5.10,['Trad'],75,1,,,Nevada,03-First Pullou…,0,0,"['5.10-', '5.10b/c', '5.8', '5.9-', '5.10', '5.10b', '5.10a']",
Black Bomber,3.0,1,5.10,['Trad'],75,1,,,Nevada,03-First Pullou…,0,1,"['5.10-', '5.10b/c', '5.8', '5.9-', '5.10', '5.10b', '5.10a']",
The End,2.5,6,5.10b/c,['Sport'],50,1,,,Nevada,03-First Pullou…,0,1,"['5.10', '5.10-', '5.8', '5.9-', '5.10', '5.10b', '5.10a']",
Hammy the Girl,2.5,2,5.10c,['Sport'],40,1,,,Nevada,03-First Pullou…,5,3,"['5.12a', '5.13b', '5.12a']",
Get Shorty,2.0,1,5.12a,['Sport'],30,1,,,Nevada,03-First Pullou…,0,0,"['5.13b', '5.10c', '5.12a']",
Mini Me,2.0,2,5.12a,['Sport'],30,1,,,Nevada,03-First Pullou…,0,0,"['5.13b', '5.10c', '5.12a']",
The Great Red Roof,3.4,7,5.13b,['Trad'],75,1,,,Nevada,03-First Pullou…,9,6,"['5.12a', '5.10c', '5.12a']",
Take the Skinheads Bowling,3.0,2,5.12-,['Trad'],100,1,,,Nevada,03-First Pullou…,0,0,[],
The Play's the Thing,1.6,78,5.4,"['Sport', 'TR']",50,1,,,Nevada,03-First Pullou…,3,4,"['5.7+', '5.5', '5.8', '5.7', '5.5', '5.8-', '5.8+', '5.5', '5.8', '5.8', '5.6', '5.9', '5.6', '5.7', '5.7', '5.10a', '5.8', '5.7', '5.6', '5.8']",
Contageous Blastments,1.4,8,5.5,['Sport'],70,1,,,Nevada,03-First Pullou…,2,2,"['5.7+', '5.8', '5.7', '5.5', '5.8-', '5.8+', '5.5', '5.8', '5.4', '5.8', '5.6', '5.9', '5.6', '5.7', '5.7', '5.10a', '5.8', '5.7', '5.6', '5.8']",
Passing Through Nature to Eternity,1.6,7,5.5,['Sport'],75,1,,,Nevada,03-First Pullou…,1,1,"['5.7+', '5.8', '5.7', '5.5', '5.8-', '5.8+', '5.5', '5.8', '5.4', '5.8', '5.6', '5.9', '5.6', '5.7', '5.7', '5.10a', '5.8', '5.7', '5.6', '5.8']",
Guildenstern,1.9,18,5.5,['Sport'],90,1,,,Nevada,03-First Pullou…,2,3,"['5.7+', '5.8', '5.7', '5.5', '5.8-', '5.8+', '5.5', '5.8', '5.4', '5.8', '5.6', '5.9', '5.6', '5.7', '5.7', '5.10a', '5.8', '5.7', '5.6', '5.8']",
Some Strange Eruption,2.2,13,5.6,['Sport'],80,1,,,Nevada,03-First Pullou…,1,0,"['5.7+', '5.5', '5.8', '5.7', '5.5', '5.8-', '5.8+', '5.5', '5.8', '5.4', '5.8', '5.9', '5.6', '5.7', '5.7', '5.10a', '5.8', '5.7', '5.6', '5.8']",
Rosencrantz,2.0,26,5.6,['Sport'],85,1,,,Nevada,03-First Pullou…,2,4,"['5.7+', '5.5', '5.8', '5.7', '5.5', '5.8-', '5.8+', '5.5', '5.8', '5.4', '5.8', '5.9', '5.6', '5.7', '5.7', '5.10a', '5.8', '5.7', '5.6', '5.8']",
What Dreams May Come,1.6,16,5.6,['TR'],,1,,,Nevada,03-First Pullou…,0,2,"['5.7+', '5.5', '5.8', '5.7', '5.5', '5.8-', '5.8+', '5.5', '5.8', '5.4', '5.8', '5.9', '5.6', '5.7', '5.7', '5.10a', '5.8', '5.7', '5.6', '5.8']",
Frailty Thy Name is Sandstone,2.4,201,5.7,['Sport'],90,1,,,Nevada,03-First Pullou…,8,5,"['5.7+', '5.5', '5.8', '5.5', '5.8-', '5.8+', '5.5', '5.8', '5.4', '5.8', '5.6', '5.9', '5.6', '5.7', '5.7', '5.10a', '5.8', '5.7', '5.6', '5.8']",
Sweets to the Sweet,2.2,188,5.7,['Sport'],90,1,,,Nevada,03-First Pullou…,8,4,"['5.7+', '5.5', '5.8', '5.5', '5.8-', '5.8+', '5.5', '5.8', '5.4', '5.8', '5.6', '5.9', '5.6', '5.7', '5.7', '5.10a', '5.8', '5.7', '5.6', '5.8']",
Stand Dumb and Speak Not,2.3,8,5.7,['Sport'],80,1,,,Nevada,03-First Pullou…,1,1,"['5.7+', '5.5', '5.8', '5.5', '5.8-', '5.8+', '5.5', '5.8', '5.4', '5.8', '5.6', '5.9', '5.6', '5.7', '5.7', '5.10a', '5.8', '5.7', '5.6', '5.8']",
Undiscovered Country,1.9,17,5.7,['TR'],,1,,,Nevada,03-First Pullou…,2,2,"['5.7+', '5.5', '5.8', '5.5', '5.8-', '5.8+', '5.5', '5.8', '5.4', '5.8', '5.6', '5.9', '5.6', '5.7', '5.7', '5.10a', '5.8', '5.7', '5.6', '5.8']",
"Alas, Poor Yorick",2.3,12,5.7+,['Sport'],130,2,,,Nevada,03-First Pullou…,2,3,"['5.5', '5.8', '5.7', '5.5', '5.8-', '5.8+', '5.5', '5.8', '5.4', '5.8', '5.6', '5.9', '5.6', '5.7', '5.7', '5.10a', '5.8', '5.7', '5.6', '5.8']",
The Madness and the Method,2.0,23,5.8-,['TR'],60,1,,,Nevada,03-First Pullou…,1,6,"['5.7+', '5.5', '5.8', '5.7', '5.5', '5.8+', '5.5', '5.8', '5.4', '5.8', '5.6', '5.9', '5.6', '5.7', '5.7', '5.10a', '5.8', '5.7', '5.6', '5.8']",
To Grunt and Sweat,2.5,142,5.8,['Sport'],60,1,,,Nevada,03-First Pullou…,0,3,"['5.7+', '5.5', '5.7', '5.5', '5.8-', '5.8+', '5.5', '5.8', '5.4', '5.8', '5.6', '5.9', '5.6', '5.7', '5.7', '5.10a', '5.8', '5.7', '5.6', '5.8']",
Perchance to Dream,2.6,132,5.8,['Sport'],90,1,,,Nevada,03-First Pullou…,1,1,"['5.7+', '5.5', '5.7', '5.5', '5.8-', '5.8+', '5.5', '5.8', '5.4', '5.8', '5.6', '5.9', '5.6', '5.7', '5.7', '5.10a', '5.8', '5.7', '5.6', '5.8']",
The Die is Cast,2.3,121,5.8,['Sport'],85,1,,,Nevada,03-First Pullou…,8,11,"['5.7+', '5.5', '5.7', '5.5', '5.8-', '5.8+', '5.5', '5.8', '5.4', '5.8', '5.6', '5.9', '5.6', '5.7', '5.7', '5.10a', '5.8', '5.7', '5.6', '5.8']",
When the Blood Burns,2.4,95,5.8,"['Sport', 'TR']",,1,,,Nevada,03-First Pullou…,3,5,"['5.7+', '5.5', '5.7', '5.5', '5.8-', '5.8+', '5.5', '5.8', '5.4', '5.8', '5.6', '5.9', '5.6', '5.7', '5.7', '5.10a', '5.8', '5.7', '5.6', '5.8']",
The Rest is Silence,1.9,11,5.8,['TR'],,1,,,Nevada,03-First Pullou…,0,1,"['5.7+', '5.5', '5.7', '5.5', '5.8-', '5.8+', '5.5', '5.8', '5.4', '5.8', '5.6', '5.9', '5.6', '5.7', '5.7', '5.10a', '5.8', '5.7', '5.6', '5.8']",
