name,rating,votes,grade,type,height,pitches,safety,commitment,state,sub_area,photos,comments,near_grades,aid_grade
"Pretty in Pinkpoint, P1",3.0,22,5.10a,['Sport'],80,1,,,California,Medlicott Dome,0,1,"['5.11a', '5.11c', '5.11b', '5.10b', '5.9', '5.9', '5.11c', '5.11a', '5.11a', '5.9', '5.11d', '5.13c', '5.12c', '5.11a', '5.10a/b', '5.8', '5.11b/c', '5.12a', '5.11a', '5.10c', '5.10c']",
Shady Rest,2.4,8,5.10a/b,['Sport'],65,1,PG13,,California,Medlicott Dome,1,1,"['5.11a', '5.11c', '5.11b', '5.10b', '5.9', '5.9', '5.11c', '5.11a', '5.11a', '5.9', '5.11d', '5.13c', '5.10a', '5.12c', '5.11a', '5.8', '5.11b/c', '5.12a', '5.11a', '5.10c', '5.10c']",
Ciebola,3.5,23,5.10b,['Trad'],220,2,PG13,,California,Medlicott Dome,8,5,"['5.11a', '5.11c', '5.11b', '5.9', '5.9', '5.11c', '5.11a', '5.11a', '5.9', '5.11d', '5.13c', '5.10a', '5.12c', '5.11a', '5.10a/b', '5.8', '5.11b/c', '5.12a', '5.11a', '5.10c', '5.10c']",
You Asked For It,3.8,5,5.10c,['Trad'],450,4,X,III,California,Medlicott Dome,1,3,"['5.11a', '5.11c', '5.11b', '5.10b', '5.9', '5.9', '5.11c', '5.11a', '5.11a', '5.9', '5.11d', '5.13c', '5.10a', '5.12c', '5.11a', '5.10a/b', '5.8', '5.11b/c', '5.12a', '5.11a', '5.10c']",
Techno Tango,1.5,2,5.10c,['Trad'],90,1,,,California,Medlicott Dome,0,0,"['5.11a', '5.11c', '5.11b', '5.10b', '5.9', '5.9', '5.11c', '5.11a', '5.11a', '5.9', '5.11d', '5.13c', '5.10a', '5.12c', '5.11a', '5.10a/b', '5.8', '5.11b/c', '5.12a', '5.11a', '5.10c']",
15 Minutes of Fame,3.0,25,5.11a,['Sport'],80,1,,,California,Medlicott Dome,1,0,"['5.11c', '5.11b', '5.10b', '5.9', '5.9', '5.11c', '5.11a', '5.11a', '5.9', '5.11d', '5.13c', '5.10a', '5.12c', '5.11a', '5.10a/b', '5.8', '5.11b/c', '5.12a', '5.11a', '5.10c', '5.10c']",
Slacker/Carrion,2.5,4,5.11a,['Trad'],500,5,,,California,Medlicott Dome,2,0,"['5.11c', '5.11b', '5.10b', '5.9', '5.9', '5.11c', '5.11a', '5.11a', '5.9', '5.11d', '5.13c', '5.10a', '5.12c', '5.11a', '5.10a/b', '5.8', '5.11b/c', '5.12a', '5.11a', '5.10c', '5.10c']",
Sex Something,2.0,2,5.11a,['Sport'],80,1,PG13,,California,Medlicott Dome,1,0,"['5.11c', '5.11b', '5.10b', '5.9', '5.9', '5.11c', '5.11a', '5.11a', '5.9', '5.11d', '5.13c', '5.10a', '5.12c', '5.11a', '5.10a/b', '5.8', '5.11b/c', '5.12a', '5.11a', '5.10c', '5.10c']",
Dude Looks Like a Lady,2.5,2,5.11a,['Sport'],80,1,PG13,,California,Medlicott Dome,1,0,"['5.11c', '5.11b', '5.10b', '5.9', '5.9', '5.11c', '5.11a', '5.11a', '5.9', '5.11d', '5.13c', '5.10a', '5.12c', '5.11a', '5.10a/b', '5.8', '5.11b/c', '5.12a', '5.11a', '5.10c', '5.10c']",
The Going,1.5,2,5.11a,['TR'],110,1,,,California,Medlicott Dome,0,0,"['5.11c', '5.11b', '5.10b', '5.9', '5.9', '5.11c', '5.11a', '5.11a', '5.9', '5.11d', '5.13c', '5.10a', '5.12c', '5.11a', '5.10a/b', '5.8', '5.11b/c', '5.12a', '5.11a', '5.10c', '5.10c']",
Big Time,3.1,14,5.11b,['Sport'],85,1,,,California,Medlicott Dome,1,0,"['5.11a', '5.11c', '5.10b', '5.9', '5.9', '5.11c', '5.11a', '5.11a', '5.9', '5.11d', '5.13c', '5.10a', '5.12c', '5.11a', '5.10a/b', '5.8', '5.11b/c', '5.12a', '5.11a', '5.10c', '5.10c']",
Shiner,3.4,5,5.11b/c,['Sport'],60,1,,,California,Medlicott Dome,0,1,"['5.11a', '5.11c', '5.11b', '5.10b', '5.9', '5.9', '5.11c', '5.11a', '5.11a', '5.9', '5.11d', '5.13c', '5.10a', '5.12c', '5.11a', '5.10a/b', '5.8', '5.12a', '5.11a', '5.10c', '5.10c']",
Bachar-Yerian,4.0,9,5.11c,['Trad'],400,4,X,III,California,Medlicott Dome,9,13,"['5.11a', '5.11b', '5.10b', '5.9', '5.9', '5.11c', '5.11a', '5.11a', '5.9', '5.11d', '5.13c', '5.10a', '5.12c', '5.11a', '5.10a/b', '5.8', '5.11b/c', '5.12a', '5.11a', '5.10c', '5.10c']",
Dress Rehearsal,2.5,2,5.11c,['Sport'],,1,,,California,Medlicott Dome,2,0,"['5.11a', '5.11b', '5.10b', '5.9', '5.9', '5.11c', '5.11a', '5.11a', '5.9', '5.11d', '5.13c', '5.10a', '5.12c', '5.11a', '5.10a/b', '5.8', '5.11b/c', '5.12a', '5.11a', '5.10c', '5.10c']",
Lead Doll,3.0,5,5.11d,['Sport'],60,1,PG13,,California,Medlicott Dome,2,3,"['5.11a', '5.11c', '5.11b', '5.10b', '5.9', '5.9', '5.11c', '5.11a', '5.11a', '5.9', '5.13c', '5.10a', '5.12c', '5.11a', '5.10a/b', '5.8', '5.11b/c', '5.12a', '5.11a', '5.10c', '5.10c']",
Shipoopi!,3.7,7,5.12a,['Sport'],200,4,PG13,,California,Medlicott Dome,4,3,"['5.11a', '5.11c', '5.11b', '5.10b', '5.9', '5.9', '5.11c', '5.11a', '5.11a', '5.9', '5.11d', '5.13c', '5.10a', '5.12c', '5.11a', '5.10a/b', '5.8', '5.11b/c', '5.11a', '5.10c', '5.10c']",
"Pretty in Pinkpoint, P2",3.7,3,5.12c,['Sport'],50,1,,,California,Medlicott Dome,0,0,"['5.11a', '5.11c', '5.11b', '5.10b', '5.9', '5.9', '5.11c', '5.11a', '5.11a', '5.9', '5.11d', '5.13c', '5.10a', '5.11a', '5.10a/b', '5.8', '5.11b/c', '5.12a', '5.11a', '5.10c', '5.10c']",
