,name,rating,votes,grade,type,height,pitches,safety,commitment,state,sub_area,photos,comments,near_grades,aid_grade,popularity,combined_difficulty,difficulty_sport_trad,number_near_grades,diff_nearby_grades,safety_numerical,commitment_numerical,aid_numerical
113,Machete,1.5,10,5.10a,['Sport'],50.0,1,,,Nevada,05-Sandstone Qu…,0,2,"['5.11b', '5.11-', '5.10+', '5.11-', '5.10+']",,1.5722594222307247,2,7.0,5,1.6,,1,
117,Viagra Falls,2.7,127,5.11d,['Sport'],50.0,1,,,Nevada,03-First Pullou…,10,17,"['5.8', '5.8', '5.8', '5.10a', '5.11-', '5.10d', '5.5', '5.10', '5.10-', '5.6', '5.7', '5.10d', '5.10', '5.12a', '5.9', '5.10a', '5.10d', '5.6', '5.10a', '5.8', '5.7', 'V-easy', '5.7+', '5.11a', '5.10c', '5.12a']",,2.696834794097953,5,14.0,26,2.4615384615384617,,1,
124,Lava Java,2.1,38,5.8,['Sport'],70.0,1,,,California,Inner Gorge,0,2,"['5.10b', '5.10c', '5.11d', '5.12b', '5.10b', '5.12a', '5.11c', '5.10d', '5.12b', '5.12b', '5.12d', '5.12c', '5.11b', '5.11b', '5.12a', '5.11c', '5.9', '5.10b/c', '5.11d']",,2.1049962472958454,2,5.0,19,2.526315789473684,,1,
127,Mind if I do a J?,2.6,148,5.10b,['Sport'],55.0,1,,,Nevada,03-First Pullou…,5,10,"['5.7', '5.12b', '5.10d']",,2.597952037882805,2,8.0,3,1.6666666666666665,,1,
142,Red Sky Mining,2.5,37,5.11a,['Sport'],60.0,1,,,Nevada,05-Sandstone Qu…,1,0,"['5.12b/c', '5.11c', '5.12b', '5.11a', '5.12a/b', '5.11a', '5.11b', '5.11d', '5.11b']",,2.4946014116983677,4,11.0,9,0.8888888888888893,,1,
148,Shipley Drive,2.0,2,5.4,['Sport'],60.0,1,,,California,Little Egypt,0,1,"['5.9', '5.10b', '5.11d', '5.7', '5.11b']",,2.0982845481793237,1,1.0,5,2.0,,1,
152,Faulty Break,2.0,40,5.10a,['Sport'],50.0,1,,,California,Mammoth Lakes Area,0,1,"['5.11b/c', '5.7', '5.10b', '5.10a', '5.11a', '5.10a', '5.11a', '5.10b', '5.4', '5.10c', '5.11a', '5.12', '5.10a', '5.9+', '5.11b', '5.10d', '5.8+', '5.11b', '5.10c', '5.11b/c', '5.11c', '5.10a', '5.8']",,2.007191552305804,2,7.0,23,1.0434782608695654,,1,
158,Plutonics,2.7,15,5.10b,['Sport'],500.0,3,,,California,Tuolumne Meadows,0,5,"['5.11a', '5.8', '5.8', '5.7', '5.8', '5.10a', '5.9', '5.10a', '5.7', '5.7', '5.9', '5.6', '5.8', '5.10a', '5.10a', '5.7', '5.7', '5.8', '5.10a/b', '5.10c', '5.8', '5.10a']",,2.6746783527836233,2,8.0,22,0.09090909090909083,,1,
161,Last but least,0.5,2,5.11b/c,['Sport'],50.0,1,,,Nevada,05-Sandstone Qu…,0,0,"['5.12b', '5.11c', '5.10c', '5.11c', '5.12a', '5.11d', '5.11b/c', '5.12a/b', '5.9+', '5.11d', '5.11a']",,1.0982845481793237,4,12.0,11,0.6363636363636367,,1,
169,The Grapevine,2.5,2,5.13a,['Sport'],60.0,1,,,California,Canopy World,1,0,['5.12a'],,2.431617881512657,8,18.0,1,2.0,,1,
171,Stealth Pillar Right,1.0,1,5.11b,['Sport'],40.0,1,,,California,Stealth Pillar…,1,0,"['5.12a', '5.12b']",,1.6474268222689858,4,12.0,2,2.0,,1,
173,Unknown A,2.4,7,5.8,['Sport'],70.0,1,,,California,Casa Diablo Mou…,2,1,"['5.10c', '5.11a', '5.9+', '5.4', '5.4', '5.10b', '5.10a', '5.6', '5.12-', '5.8', '5.7', '5.8+', '5.9', '5.9', '5.7', '5.8+', '5.11b', '5.9']",,2.3868567055672467,2,5.0,18,0.3333333333333335,,1,
192,Wind,2.4,10,5.8,['Sport'],30.0,1,,,California,Clark Canyon,2,0,"['5.10b', '5.8']",,2.390441240412543,2,5.0,2,0.0,,1,
195,Shape of Things to Come,1.9,17,5.11a,['Sport'],30.0,1,,,Nevada,05-Sandstone Qu…,0,3,"['5.9-', '5.11d', '5.9', '5.8', '5.10a', '5.10b', '5.11b', '5.11d', '5.10a', '5.10b', '5.10b', '5.10', '5.10b', '5.10-', '5.11c', '5.12b', '5.12a', '5.8', '5.12a', '5.11a', '5.11b', '5.9+', '5.10', '5.12c', '5.11a', '5.12a', '5.8']",,1.9219363135854426,4,11.0,27,0.5185185185185186,,1,
198,Hammer and the Dance,2.0,1,5.11b/c,['Sport'],265.0,3,,,California,Crestview Rock,0,0,"['5.11c', '5.8+', '5.10c', '5.10c', '5.7', '5.10a', '5.11']",,2.1474268222689856,4,12.0,7,0.8571428571428572,,1,
199,Extreme Caffeine,3.0,77,5.10b,['Sport'],90.0,1,,,California,Inner Gorge,1,3,"['5.10c', '5.11d', '5.12b', '5.10b', '5.12a', '5.8', '5.11c', '5.10d', '5.12b', '5.12b', '5.12d', '5.12c', '5.11b', '5.11b', '5.12a', '5.11c', '5.9', '5.10b/c', '5.11d']",,2.990959662109461,2,8.0,19,2.526315789473684,,1,
206,Dirty Dancing,3.4,15,5.12b,['Sport'],80.0,1,,,California,Main Island,3,5,"['5.11c', '5.10b', '5.10a']",,3.3309283527836233,6,16.0,3,3.0,,1,
211,Smear Campaign,2.3,49,5.8,['Sport'],80.0,1,,,Nevada,03-First Pullou…,1,0,"['5.6', '5.7', '5.7', '5.5', '5.5', '5.7', '5.6', '5.9+', '5.7', '5.8', '5.7', '5.8', '5.10a', '5.5']",,2.2998970728907593,2,5.0,14,0.3571428571428572,,1,
212,The Cookie Sheet,2.8,4,5.9+,['Sport'],450.0,3,,II,California,h. Cookie Area,0,1,"['5.7', '5.7', '5.9', '5.8', '5.8', '5.9', '5.7']",,2.698970728907594,2,6.0,7,0.0,,2,
229,Pumice Cheese,2.0,4,5.6,['Sport'],55.0,1,,,California,Sherwin Plateau,1,2,"['5.8', '5.9+', '5.8', '5.8+', '5.7', '5.10-', '5.7', '5.10a', '5.10', '5.8', '5.8', '5.9', '5.9+', '5.10-', '5.9+', '5.8', '5.9', '5.8', '5.10-', '5.8', '5.9', '5.9', '5.11-', '5.8', '5.9']",,2.0589707289075942,1,3.0,25,1.12,,1,
231,Brownstone Spire,3.0,1,5.10d,['Sport'],45.0,1,,,California,Storybook Cliff,2,0,"['5.9', '5.9', '5.8', '5.4']",,2.6474268222689856,3,10.0,4,1.25,,1,
234,Sidewinder,2.3,87,5.11,['Sport'],100.0,1,,,Nevada,10-Pine Creek C…,5,9,"['5.7', '5.10d', '5.7', '5.7', '5.11a', '5.11a', '5.11', '5.11b', '5.9+']",,2.2999415186879317,5,11.0,9,1.8888888888888888,,1,
237,Immortal,1.9,15,5.8,['Sport'],45.0,1,,,California,Mammoth Lakes Area,5,0,"['5.10b', '5.4', '5.11b', '5.10b/c', '5.10c', '5.5', '5.6', '5.10b/c', '5.10a', '5.8', '5.10a']",,1.9246783527836233,2,5.0,11,0.0,,1,
246,Greedy Fischerman,2.0,1,5.10c,['Sport'],80.0,1,,,California,. Outside the Park,1,0,"['5.6', '5.11a', '5.11a', '5.11d', '5.10c', '5.11c']",,2.1474268222689856,3,9.0,6,0.6666666666666665,,1,
255,Mescallana,3.5,6,5.12c,['Sport'],60.0,1,,,Nevada,05-Sandstone Qu…,1,0,"['5.13+', '5.13a', '5.13a', '5.12a', '5.11d', '5.11b/c', '5.11c/d', '5.13b', '5.13b', '5.14a', '5.13b', '5.12b', '5.13a', '5.13c', '5.14a', '5.13b/c']",,3.327836234933996,7,17.0,16,0.25,,1,
