,name,rating,votes,grade,type,height,pitches,safety,commitment,state,sub_area,photos,comments,near_grades,aid_grade,popularity,combined_difficulty,difficulty_sport_trad,number_near_grades,diff_nearby_grades,safety_numerical,commitment_numerical,aid_numerical
1315,Western Swing,2.4,11,5.10,['Trad'],800.0,8,,III,Nevada,18-Windy Peak,12,4,"['5.11c', '5.10a', '5.9', '5.9', '5.9', '5.8', '5.9', '5.9', '5.8', '5.8', '5.9', '5.10', '5.7']",,2.391237803711497,3,7.0,13,0.6923076923076925,,3,
1319,Memo From Lloyd,2.7,47,5.11-,['Trad'],60.0,1,,,California,Tuolumne Meadows,3,5,"['5.9', '5.10a', '5.11a', '5.7', '5.10c', '5.8', '5.10b', '5.9']",,2.691559450927875,4,11.0,8,1.625,,1,
1323,Patricia Lake Grack,1.9,30,5.9,['Trad'],180.0,2,,,California,Patricia Bowl,2,3,"['5.12a', '5.10a', '5.10c', '5.10b', '5.10d', '5.11a', '5.10b', '5.12b', '5.12c', '5.8', '5.10a', '5.11b', '5.11a', '5.11b', '5.10d', '5.11a']",,1.9127372143399346,2,6.0,16,1.625,,1,
1326,The Balloon That Would Not Die,2.0,2,5.7,['Trad'],220.0,2,,,California,Valley of Kings,1,2,"['5.8', '5.10d', '5.10a']",,2.0982845481793237,2,4.0,3,0.3333333333333335,,1,
1328,Bengal,1.3,6,5.9,['Trad'],60.0,1,,,Nevada,03-First Pullou…,1,0,"['5.10c', '5.10a', '5.9', '5.10b']",,1.4421219492197102,2,6.0,4,0.25,,1,
1334,Kick Back Crack,0.0,1,5.9,['Trad'],70.0,1,R,,California,Canopy World,0,0,"['5.10a', '5.10c', '5.10d', '5.11b', '5.13a', '5.7', '5.9']",,1.1474268222689858,2,6.0,7,1.4285714285714284,2.0,1,
1339,Fingers of Jesus,3.0,2,5.11a,['Trad'],60.0,1,,,California,Rush,1,0,"['5.10d', '5.9', '5.11c', '5.11b']",,2.7649512148459907,4,11.0,4,0.5,,1,
1342,It Depends,3.0,5,5.10b,['Trad'],300.0,3,,,California,Rock Creek,4,2,"['5.10d', '5.10c', '5.11a/b', '5.10b', '5.10c', '5.10a/b', '5.11a', '5.7']",,2.8824756074229954,2,8.0,8,0.875,,1,
1344,Deep Space,2.4,13,5.9,['Trad'],800.0,8,,III,Nevada,Mescalito,12,9,"['5.10+', '5.8', '5.10a', '5.7', '5.8-', '5.9', '5.10b/c', '5.7', '5.10c', '5.7+', '5.10a', '5.10a', '5.9', '5.10a', '5.7', '5.10b/c', '5.9+', '5.12', '5.8', '5.10a']",,2.392489546038427,2,6.0,20,0.3500000000000001,,3,
1346,Columbine,2.8,9,5.10c,['Trad'],115.0,2,,,California,Patricia Bowl,0,0,"['5.12a', '5.10a', '5.10b', '5.10d', '5.11a', '5.10b', '5.12b', '5.12c', '5.8', '5.10a', '5.9', '5.11b', '5.11a', '5.11b', '5.10d', '5.11a']",,2.7494853644537973,3,9.0,16,0.5625,,1,
1348,Tranquility Base,1.5,2,5.10c,['Trad'],1100.0,8,R,IV,Nevada,16-Black Velvet…,0,3,"['5.10', '5.11', '5.9', '5.10', '5.10b', '5.10d', '5.11-']",,1.7649512148459905,3,9.0,7,0.1428571428571428,2.0,4,
1354,Last Out,2.2,20,5.10b,['Trad'],60.0,1,,,Nevada,05-Sandstone Qu…,0,0,"['5.9-', '5.11d', '5.9', '5.8', '5.10a', '5.11b', '5.11d', '5.10a', '5.10b', '5.10b', '5.10', '5.10b', '5.10-', '5.11c', '5.11a', '5.12b', '5.12a', '5.8', '5.12a', '5.11a', '5.11b', '5.9+', '5.10', '5.12c', '5.11a', '5.12a', '5.8']",,2.204516840216094,2,8.0,27,1.5555555555555554,,1,
1355,Goldenlocks,2.0,1,5.10a,['Trad'],30.0,1,,,California,Rock Creek,0,0,"['5.10b', '5.7', '5.11+', '5.9', '5.9+', '5.10c', '5.9+']",,2.1474268222689856,2,7.0,7,0.5714285714285716,,1,
1363,Steppin' Out,3.5,11,5.10d,['Trad'],300.0,3,,,California,p. Reed's Pinna…,1,7,"['5.11c', '5.9-', '5.10+', '5.11c', '5.10c', '5.9', '5.8', '5.11a', '5.10a', '5.7', '5.8', '5.8', '5.9', '5.12b', '5.10d', '5.10b', '5.4', '5.10c', '5.10d', '5.10d', '5.11c', '5.13-', '5.10a', '5.10a', '5.9', '5.10a', '5.12a', '5.10b', '5.7', '5.11c', '5.10', '5.11b', '5.10d', '5.9', '5.10b', '5.10b', '5.9']",,3.3995711370448305,3,10.0,37,0.0,,1,
1365,"Lambda, Lambda, Lambda",2.3,3,5.7,['Trad'],330.0,2,R,,California,Lamb Dome,2,0,"['5.7', '5.7', '5.7', '5.9']",,2.298713411134493,2,4.0,4,0.0,2.0,1,
1368,Crack-a-Go-Go,3.9,122,5.11c,['Trad'],105.0,1,PG13,,California,h. Cookie Area,12,12,"['5.11b', '5.12b', '5.10b', '5.10a', '5.11a', '5.10d', '5.11a', '5.10d', '5.12b', '5.9', '5.10a', '5.12a', '5.9', '5.9', '5.11c', 'V0+', '5.8', '5.11b', '5.9', '5.11b', '5.11a', '5.10c', '5.10c', '5.11', '5.11+', '5.13b/c', '5.12b', '5.10+', '5.9', '5.11', '5.10b', '5.10d', '5.11a', '5.10c']",,3.88695002963039,5,13.0,34,1.3823529411764706,1.0,1,
1369,Archaeopteryx,1.0,2,5.11a,['Trad'],390.0,3,R,,Nevada,Whiskey Peak,0,0,"['5.10a/b', '5.8+', '5.8', '5.8', '5.9+', '5.11b', '5.11b', '5.11b', '5.8', '5.12a', '5.11c', '5.10d', '5.12a', '5.10d', '5.10b', '5.9', '5.11b/c', '5.10d', '5.10c/d', '5.10d', '5.9', '5.10a', '5.10', '5.10-', '5.10-', '5.11', '5.10', '5.10b']",,1.4316178815126572,4,11.0,28,0.9642857142857144,2.0,1,
1375,Roseanne,3.5,17,5.9,['Trad'],600.0,4,R,II,California,Fairview Dome,4,8,"['5.8', '5.12a', '5.10b', '5.10c/d', '5.8', '5.11a', '5.12', '5.12+', '5.10c', '5.11+', '5.11a', '5.11a', '5.10a', '5.11b']",,3.4330474246965537,2,6.0,14,1.9285714285714284,2.0,2,
1395,Penguin Cafe,3.4,35,5.11a,['Trad'],80.0,1,,,California,Murphy Creek Area,8,4,"['5.7', '5.9', '5.11b', '5.10b', '5.10a', '5.10c', '5.11b', '5.8', '5.8', '5.11a', '5.10a', '5.9']",,3.3693014901260545,4,11.0,12,1.4166666666666665,,1,
1404,Drat Crack,2.0,10,5.8,['Trad'],140.0,1,,,Nevada,09-Icebox Canyon,1,3,"['5.8', '5.9+']",,2.026804876776179,2,5.0,2,0.0,,1,
1408,P-Line Express,3.0,4,5.10+,['Trad'],800.0,1,,III,California,Lower Merced Ri…,9,9,"['5.10b', '5.8-', '5.7', '5.9', '5.9+', '5.11-', '5.8', '5.9', '5.8', '5.9', '5.11b', '5.9', '5.8+', '5.11', '5.11a', '5.9', '5.9', '5.8', '5.9', '5.11a', '5.7', '5.11-', '5.11a', '5.8', '5.11a', '5.10+', '5.8', '5.10b', '5.9', '5.10-', '5.9', '5.7', '5.10b', '5.11+', '5.8', '5.10+', '5.8+', '5.6', '5.11-', '5.10b', '5.10c', '5.8', '5.9', '5.9', '5.10a']",,2.858970728907595,3,7.0,45,0.4666666666666668,,3,
1410,English Breakfast Crack,3.5,48,5.10c,['Trad'],200.0,2,PG13,,California,d. Entrance Sta…,2,8,"['5.11b', '5.9+', '5.10d', '5.10d', '5.11a', '5.9', '5.9', '5.12a', '5.10b', '5.9+', '5.11b', '5.12a', '5.10b', '5.11a', '5.12b/c', '5.11a', '5.10c', '5.11c', '5.11d']",,3.4754051764191423,3,9.0,19,0.6315789473684212,1.0,1,
1411,Boise,2.5,6,5.7,['Trad'],25.0,1,,,Nevada,10-Pine Creek C…,1,1,"['5.10c/d', '5.8+', '5.10a', '5.9', '5.7', '5.9', '5.9+', '5.9', '5.8', '5.9', '5.9', '5.9', '5.7', '5.8+', '5.8', '5.6', '5.9+', '5.10b', '5.7+', '5.9+', '5.7+', '5.7', '5.7', '5.8']",,2.4706933777911386,2,4.0,24,0.0,,1,
1413,Inn Zone,1.5,2,5.9,['Trad'],98.0,1,,,Nevada,Parking Lot Area,0,2,"['5.9+', '5.12b', '5.9', '5.10c', '5.9', '5.10a', '5.7', '5.10c']",,1.7649512148459905,2,6.0,8,0.75,,1,
1416,The Crocodile's Toothache,2.5,2,5.10a/b,['Trad'],80.0,1,,,California,Rock Creek,2,0,"['5.10b', '5.10d', '5.11a/b', '5.8', '5.9', '5.10c', '5.11c', '5.10a/b']",,2.431617881512657,2,7.0,8,0.875,,1,
1418,Tumbleweed,1.3,23,5.6,['Trad'],50.0,1,,,California,Hodgepodge Rock,1,1,"['5.8', '5.10a/b', '5.7', '5.7', '5.4', '5.8', '5.7', '5.7', '5.9', '5.4', '5.7', '5.6']",,1.341452235189082,1,3.0,12,0.75,,1,
1423,Conduct Unbecoming,1.9,9,5.10a,['Trad'],40.0,1,,,California,Main Island,0,1,"['5.10a', '5.6', '5.11d', '5.8', '5.10b', '5.11d']",,1.9394853644537973,2,7.0,6,0.8333333333333335,,1,
1427,Slag Crack,1.0,2,5.8,['Trad'],50.0,1,,,Nevada,03-First Pullou…,1,0,"['5.8+', '5.10d', '5.11-', '5.10d', '5.7', '5.11b', '5.9', '5.9', '5.10a/b', '5.8', '5.10a']",,1.4316178815126572,2,5.0,11,0.5454545454545454,,1,
1428,Jugs on Drugs,2.0,2,5.9+,['Trad'],600.0,4,,II,Nevada,16-Black Velvet…,2,0,"['5.10', '5.11c', '5.10a', '5.9', '5.10+', '5.10', '5.10-', '5.10c', '5.9', '5.11d', '5.10b', '5.10a', '5.10c', '5.9', '5.10b', '5.11a', '5.10d', '5.10a', '5.11a', '5.10b', '5.10+', '5.11a', '5.10b']",,2.0982845481793237,2,6.0,23,0.8260869565217392,,2,
1429,Six-Gun by My Side,2.5,63,5.10a,['Trad'],70.0,1,,,California,Corral Wall,4,9,"['5.8', '5.8+', '5.10c', '5.7', '5.8', '5.9', '5.12a/b', '5.9+', '5.10b', '5.8', '5.10b', '5.7', '5.10a', '5.9', '5.8', '5.10d']",,2.4967945881959057,2,7.0,16,0.375,,1,
1441,Tommy Boy,3.0,45,5.10a,['Trad'],70.0,1,,,California,Patricia Bowl,5,3,"['5.10a', '5.10a', '5.11c', '5.10b', '5.7', '5.8', '5.11-', '5.10c', '5.10d', '5.9', '5.10a', '5.11-']",,2.9846707314029994,2,7.0,12,0.75,,1,
1448,Holiday in Cambodia,1.0,1,5.11+,['Trad'],30.0,1,,,California,Rock Creek,0,0,"['5.10b', '5.7', '5.10a', '5.9', '5.9+', '5.10c', '5.9+']",,1.6474268222689858,5,11.0,7,2.857142857142857,,1,
