name,rating,votes,grade,type,height,pitches,safety,commitment,state,sub_area,photos,comments,near_grades,aid_grade
Soulstice,3.0,1,5.13a,['Sport'],100,1,,,California,Rock Creek,2,0,"['5.11b', '5.10-', '5.8', '5.10', '5.10c', '5.12+', '5.11a', '5.10+', '5.9+', '5.9']",
Time To Make The Donuts,2.0,2,5.10a/b,['Trad'],500,4,,,California,Rock Creek,1,0,"['5.10d', '5.10c', '5.11a/b', '5.10b', '5.10b', '5.10c', '5.11a', '5.7']",
I'm 26 and You're 80,2.5,4,5.10b,['Trad'],75,1,,,California,Rock Creek,2,2,"['5.10d', '5.10c', '5.11a/b', '5.10b', '5.10c', '5.10a/b', '5.11a', '5.7']",
It Depends,3.0,5,5.10b,['Trad'],300,3,,,California,Rock Creek,4,2,"['5.10d', '5.10c', '5.11a/b', '5.10b', '5.10c', '5.10a/b', '5.11a', '5.7']",
Stank on My Hangdown,3.3,4,5.10c,['Trad'],75,1,,,California,Rock Creek,3,1,"['5.10d', '5.11a/b', '5.10b', '5.10b', '5.10c', '5.10a/b', '5.11a', '5.7']",
Dentugripped,4.0,2,5.10c,['Trad'],200,1,,,California,Rock Creek,2,0,"['5.10d', '5.11a/b', '5.10b', '5.10b', '5.10c', '5.10a/b', '5.11a', '5.7']",
Boomin' Granny,3.5,6,5.10d,['Trad'],500,4,,,California,Rock Creek,3,3,"['5.10c', '5.11a/b', '5.10b', '5.10b', '5.10c', '5.10a/b', '5.11a', '5.7']",
Tramp Stamp Granny,3.5,4,5.11a,['Trad'],500,4,,,California,Rock Creek,7,1,"['5.10d', '5.10c', '5.11a/b', '5.10b', '5.10b', '5.10c', '5.10a/b', '5.7']",
Equinocturia,3.0,2,5.11a/b,['Trad'],230,2,,,California,Rock Creek,3,0,"['5.10d', '5.10c', '5.10b', '5.10b', '5.10c', '5.10a/b', '5.11a', '5.7']",
Shake a Leg,3.0,1,5.8,['Trad'],100,1,,,California,Rock Creek,1,0,"['5.11a', '5.11a', '5.11c', '5.10a', '5.8', '5.9']",
The Hustler,2.0,1,5.8,['Trad'],100,1,,,California,Rock Creek,1,0,"['5.11a', '5.11a', '5.11c', '5.10a', '5.8', '5.9']",
Vamoose,2.0,1,5.9,['Trad'],100,1,,,California,Rock Creek,1,0,"['5.11a', '5.11a', '5.8', '5.11c', '5.10a', '5.8']",
Scoot Scoot,2.0,1,5.10a,['Trad'],300,3,,,California,Rock Creek,1,0,"['5.11a', '5.11a', '5.8', '5.11c', '5.8', '5.9']",
Clean Slate,2.0,1,5.11a,['Trad'],300,3,,,California,Rock Creek,1,0,"['5.11a', '5.8', '5.11c', '5.10a', '5.8', '5.9']",
Dirty Deeds,3.0,1,5.11a,['Trad'],300,3,,,California,Rock Creek,2,0,"['5.11a', '5.8', '5.11c', '5.10a', '5.8', '5.9']",
